运行臂,功率_瓦,材料,时间窗,权重口径,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,验证点数,完整场推理秒
原始LF_B0,730.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,11.476625906166865,10.270818937607363,-10.1757803767997,37.42236328125,11830,0.009747274991241284
原始LF_B0,730.0,SiC,"(100,200]秒",节点等权,13.714406207191319,11.898451906463803,-11.815914667795395,40.3160400390625,16900,0.009747274991241284
原始LF_B0,730.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,10.537300133007298,9.172533864784821,-9.086556675258413,40.3160400390625,16900,0.009747274991241284
原始LF_B0,800.0,Cu,全时段,节点等权,5.931672429595544,5.19871562454894,1.8361633104252184,21.43707275390625,82921,0.009545312001137063
原始LF_B0,800.0,Cu,全时段,轴对称有限元集总真实体积,5.129403354744105,4.59226986264068,3.554720481497128,21.43707275390625,82921,0.009545312001137063
原始LF_B0,800.0,Cu,"[0,30]秒",节点等权,5.985231122092852,5.431165346710168,3.5190229311349475,18.602264404296875,13136,0.009545312001137063
原始LF_B0,800.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,5.723929065778725,5.303660154875746,4.6916399944788045,18.602264404296875,13136,0.009545312001137063
原始LF_B0,800.0,Cu,"(30,100]秒",节点等权,6.038912261049677,5.271975761640584,1.5179204528925418,19.425323486328125,28735,0.009545312001137063
原始LF_B0,800.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,5.067269196607694,4.530060155875849,3.4730152636734495,19.425323486328125,28735,0.009545312001137063
原始LF_B0,800.0,Cu,"(100,200]秒",节点等权,5.837969695490973,5.073049617493196,1.5204182320709787,21.43707275390625,41050,0.009545312001137063
原始LF_B0,800.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,4.968847420196121,4.4081717638608415,3.2480998898195668,21.43707275390625,41050,0.009545312001137063
原始LF_B0,800.0,SiC,全时段,节点等权,16.479303288048268,14.609333049727908,-14.447491152745096,50.717620849609375,34138,0.009545312001137063
原始LF_B0,800.0,SiC,全时段,轴对称有限元集总真实体积,13.313375978215392,11.75578619121962,-11.572953725565666,50.717620849609375,34138,0.009545312001137063
原始LF_B0,800.0,SiC,"[0,30]秒",节点等权,13.166504203458992,11.029220885779026,-10.232206852478388,50.717620849609375,5408,0.009545312001137063
原始LF_B0,800.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,10.700760690904596,8.851875509290576,-7.916144208306386,50.717620849609375,5408,0.009545312001137063
原始LF_B0,800.0,SiC,"(30,100]秒",节点等权,17.097023004357922,15.694102453520413,-15.646482530530992,44.0950927734375,11830,0.009545312001137063
原始LF_B0,800.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,14.40140747240952,13.057184353394977,-13.010007301614392,44.0950927734375,11830,0.009545312001137063
原始LF_B0,800.0,SiC,"(100,200]秒",节点等权,16.984590044724676,14.995630359536797,-14.957088164380316,47.17205810546875,16900,0.009545312001137063
原始LF_B0,800.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,13.27458074842471,11.774058895914163,-11.737195267854524,47.17205810546875,16900,0.009545312001137063
原采样接续,90.0,Cu,全时段,节点等权,0.039398723426026044,0.022030167868268443,0.01101371779950005,0.514007568359375,82921,0.011310792004223913
原采样接续,90.0,Cu,全时段,轴对称有限元集总真实体积,0.02816749078149616,0.016370432287836224,0.007483780865820238,0.514007568359375,82921,0.011310792004223913
原采样接续,90.0,Cu,"[0,30]秒",节点等权,0.04866613364355539,0.03417141457858533,0.011615829839485716,0.41845703125,13136,0.011310792004223913
原采样接续,90.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,0.03621555319998338,0.0259799130770888,0.003577923994318393,0.41845703125,13136,0.011310792004223913
原采样接续,90.0,Cu,"(30,100]秒",节点等权,0.035449705649604805,0.01853656174722953,0.00945317534046296,0.45269775390625,28735,0.011310792004223913
原采样接续,90.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,0.025090428660701755,0.013901698207698524,0.007488402007560087,0.45269775390625,28735,0.011310792004223913
原采样接续,90.0,Cu,"(100,200]秒",节点等权,0.0387040209988897,0.020590493205694275,0.011913421668030603,0.514007568359375,41050,0.011310792004223913
原采样接续,90.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,0.027245390130801152,0.01502351229137179,0.008730420265482939,0.514007568359375,41050,0.011310792004223913
原采样接续,90.0,SiC,全时段,节点等权,0.047258835080178675,0.030869007641377004,0.025367406502822643,0.410400390625,34138,0.011310792004223913
原采样接续,90.0,SiC,全时段,轴对称有限元集总真实体积,0.041160013523398244,0.027277744612514077,0.022183896469570853,0.410400390625,34138,0.011310792004223913
原采样接续,90.0,SiC,"[0,30]秒",节点等权,0.1005148890921602,0.07861817941157775,0.07231188666891064,0.410400390625,5408,0.011310792004223913
